,RNA_NAME,Regression coefficient,R-square
209,hsa-mir-3660,0.06931,0.00236377
210,hsa-mir-4648,0.14092,0.00236222
211,hsa-mir-193a,0.01913,0.00234301
212,hsa-mir-1301,0.01954,0.00230606
213,hsa-mir-181a-2,0.01591,0.00225751
214,hsa-mir-5193,0.0798,0.00225197
215,hsa-mir-140,0.02556,0.00225017
216,hsa-mir-3616,0.05703,0.00217723
217,hsa-mir-515-1,0.01625,0.00217437
218,hsa-mir-548au,0.04983,0.00216674
219,hsa-mir-509-1,0.01154,0.00216496
220,hsa-mir-4449,0.02741,0.00214147
221,hsa-mir-135b,0.00778,0.00211334
222,hsa-mir-3164,0.12837,0.00208313
223,hsa-mir-4501,0.03573,0.00206975
224,hsa-mir-6511b-1,0.02901,0.00205519
225,hsa-mir-4724,0.02591,0.00204118
226,hsa-mir-3615,0.02071,0.00203316
227,hsa-mir-1258,0.02897,0.00202565
228,hsa-mir-29c,0.01337,0.00200581
229,hsa-mir-3131,0.02581,0.0019991
230,hsa-let-7e,0.01781,0.00199303
231,hsa-mir-4435-1,0.11885,0.00198182
232,hsa-mir-1307,0.01876,0.00198022
233,hsa-mir-517b,0.01117,0.00195888
234,hsa-mir-599,0.03946,0.00195625
235,hsa-mir-6797,0.07349,0.00194406
236,hsa-mir-4326,0.01389,0.00189374
237,hsa-mir-3115,0.09731,0.00187934
238,hsa-mir-190a,0.02046,0.00187808
239,hsa-mir-3667,0.05401,0.00187245
240,hsa-mir-6764,0.06852,0.0018693
241,hsa-mir-34b,0.01321,0.00185951
242,hsa-mir-1245b,0.12297,0.00185845
243,hsa-mir-135a-1,0.00696,0.00184823
244,hsa-mir-1247,0.00852,0.00183299
245,hsa-mir-760,0.02012,0.00177967
246,hsa-mir-3157,0.04253,0.00172866
247,hsa-mir-5698,0.02127,0.00170596
248,hsa-let-7c,0.01053,0.00169712
249,hsa-mir-514a-1,0.00928,0.00169488
250,hsa-mir-2117,0.11056,0.00166318
251,hsa-mir-3182,0.13576,0.00166035
252,hsa-mir-3199-2,0.03265,0.00164681
253,hsa-mir-7-3,0.01681,0.00160441
254,hsa-mir-107,0.02247,0.00159577
255,hsa-mir-573,0.03158,0.00159529
256,hsa-mir-576,0.01893,0.00159284
257,hsa-mir-7155,0.06132,0.00158524
258,hsa-mir-450b,0.01228,0.00156097
259,hsa-mir-320d-1,0.04035,0.00154626
260,hsa-mir-6854,0.02519,0.00152484
261,hsa-mir-939,0.02933,0.00151577
262,hsa-mir-6739,0.0923,0.00150188
263,hsa-mir-136,0.00938,0.00150065
264,hsa-mir-151b,0.0201,0.00150004
265,hsa-mir-6885,0.07172,0.00150002
266,hsa-mir-429,0.00614,0.00149239
267,hsa-mir-1288,0.03573,0.00146752
268,hsa-mir-4797,0.03223,0.00146436
269,hsa-mir-1269b,0.00807,0.00145782
270,hsa-mir-7702,0.0153,0.00144713
271,hsa-mir-1305,0.02348,0.00143341
272,hsa-mir-6882,0.07189,0.00141545
273,hsa-mir-4654,0.09599,0.00139956
274,hsa-mir-4756,0.06467,0.00139213
275,hsa-mir-1245a,0.01649,0.00137929
276,hsa-mir-6720,0.0151,0.00137702
277,hsa-mir-365b,0.01466,0.00137659
278,hsa-mir-548aq,0.08788,0.00137111
279,hsa-mir-520d,0.01173,0.00137084
280,hsa-mir-550a-3,0.02433,0.00136164
281,hsa-mir-320d-2,0.04199,0.00133787
282,hsa-mir-3691,0.03319,0.0013325
283,hsa-mir-3944,0.03224,0.00132001
284,hsa-mir-6744,0.06303,0.00130695
285,hsa-mir-4751,0.112,0.00130019
286,hsa-mir-376a-2,0.01294,0.00129557
287,hsa-mir-3137,0.07091,0.00127546
288,hsa-mir-766,0.0144,0.00127538
289,hsa-mir-3937,0.02408,0.00126473
290,hsa-mir-1306,0.01554,0.00124779
291,hsa-mir-221,0.00953,0.00124603
292,hsa-mir-3187,0.03235,0.00124368
293,hsa-mir-7-2,0.01361,0.00123455
294,hsa-mir-205,0.0031,0.00123112
295,hsa-mir-509-2,0.00873,0.00122292
296,hsa-mir-3613,0.01631,0.00122085
297,hsa-mir-3607,0.00972,0.0012155
298,hsa-mir-548d-2,0.04678,0.00121476
299,hsa-mir-2114,0.02014,0.00120815
300,hsa-mir-95,0.01193,0.00120235
301,hsa-mir-582,0.01006,0.00119879
302,hsa-mir-551b,0.00839,0.00119627
303,hsa-mir-5683,0.0104,0.0011644
304,hsa-mir-4645,0.04006,0.00112029
305,hsa-mir-30b,0.01573,0.00110443
306,hsa-mir-4491,0.02577,0.00110046
307,hsa-mir-618,0.02127,0.00108706
308,hsa-mir-5001,0.02546,0.00108397
309,hsa-mir-6515,0.05721,0.00108387
310,hsa-mir-5187,0.03336,0.00108342
311,hsa-mir-3943,0.04676,0.00106134
312,hsa-mir-301a,0.01194,0.00102619
313,hsa-mir-5682,0.04158,0.00102227
314,hsa-mir-3190,0.04869,0.00102178
315,hsa-mir-4699,0.06976,0.00101359
316,hsa-mir-4759,0.11813,0.00101049
317,hsa-mir-1185-2,0.02834,0.00100784
318,hsa-mir-184,0.00636,0.00099737
319,hsa-mir-320c-2,0.0332,0.00099123
320,hsa-mir-4470,0.05562,0.00098225
321,hsa-mir-758,0.00726,0.00097868
322,hsa-mir-5091,0.02555,0.00095231
323,hsa-mir-5571,0.03185,0.00094441
324,hsa-mir-4419b,0.14097,0.00094074
325,hsa-mir-1914,0.05239,0.00093918
326,hsa-mir-4664,0.0212,0.00093388
327,hsa-mir-151a,0.01681,0.00092902
328,hsa-mir-3684,0.03489,0.00092789
329,hsa-mir-132,0.01376,0.0009236
330,hsa-mir-5680,0.03271,0.0009222
331,hsa-mir-4632,0.0467,0.00091854
332,hsa-mir-1266,0.01,0.00091617
333,hsa-mir-4674,0.0486,0.00091127
334,hsa-mir-548n,0.07541,0.00089205
335,hsa-mir-4728,0.01263,0.00088978
336,hsa-mir-3618,0.04746,0.00087923
337,hsa-mir-4675,0.07099,0.00087425
338,hsa-mir-552,0.0061,0.00087335
339,hsa-mir-1269a,0.00388,0.0008727
340,hsa-mir-339,0.01337,0.00084864
341,hsa-mir-4647,0.06345,0.00084667
342,hsa-mir-6877,0.03356,0.00084317
343,hsa-mir-10b,0.00736,0.00083051
344,hsa-mir-1225,0.06245,0.00082256
345,hsa-mir-581,0.02558,0.00079861
346,hsa-mir-489,0.02374,0.00077946
347,hsa-mir-6748,0.05002,0.00076701
348,hsa-mir-4425,0.1135,0.0007603
349,hsa-mir-449c,0.01812,0.00075556
350,hsa-mir-374b,0.01602,0.00074208
351,hsa-mir-342,0.01015,0.00072962
352,hsa-mir-20b,0.0057,0.00070995
353,hsa-mir-3619,0.02905,0.00070757
354,hsa-mir-10a,0.00473,0.00069978
355,hsa-mir-744,0.01078,0.00067415
356,hsa-mir-3919,0.04096,0.00066957
357,hsa-mir-7705,0.01543,0.00066683
358,hsa-mir-1304,0.01244,0.00066383
359,hsa-mir-6084,0.09273,0.00065842
360,hsa-mir-4732,0.02384,0.00064821
361,hsa-mir-1228,0.01663,0.00064157
362,hsa-mir-3609,0.02278,0.00064149
363,hsa-mir-3659,0.07726,0.00063269
364,hsa-mir-4707,0.02851,0.00062876
365,hsa-mir-1179,0.01322,0.00061296
366,hsa-mir-664a,0.01091,0.00060878
367,hsa-mir-4526,0.07703,0.00060503
368,hsa-mir-6761,0.01716,0.00060442
369,hsa-mir-514b,0.01371,0.00059803
370,hsa-mir-3150b,0.01113,0.00058926
371,hsa-mir-3662,0.01342,0.00058591
372,hsa-mir-451a,0.0059,0.00057903
373,hsa-mir-373,0.00418,0.00057696
374,hsa-mir-6766,0.04857,0.0005526
375,hsa-mir-4791,0.019,0.00054212
376,hsa-mir-5703,0.02822,0.00053919
377,hsa-mir-517c,0.00736,0.00052852
378,hsa-mir-93,0.00953,0.00052598
379,hsa-mir-6769a,0.04613,0.000525
380,hsa-mir-15a,0.01192,0.00052416
381,hsa-mir-4515,0.03944,0.00052355
382,hsa-mir-433,0.0075,0.00051398
383,hsa-mir-4668,0.01231,0.00051223
384,hsa-mir-3655,0.03132,0.00051121
385,hsa-mir-197,0.01068,0.00051108
386,hsa-mir-4714,0.02714,0.00050538
387,hsa-mir-302a,0.00409,0.00050395
388,hsa-mir-4536-2,0.04085,0.00050342
389,hsa-mir-5693,0.10755,0.0005011
390,hsa-mir-577,0.00481,0.0004906
391,hsa-mir-4662a,0.00713,0.00048956
392,hsa-mir-1285-1,0.05799,0.00048901
393,hsa-mir-154,0.00565,0.00048355
394,hsa-mir-3145,0.03749,0.00048335
395,hsa-mir-4727,0.03897,0.0004827
396,hsa-mir-642a,0.00913,0.00047556
397,hsa-mir-3200,0.00686,0.00047408
398,hsa-mir-4444-1,0.02273,0.00047334
399,hsa-mir-933,0.09211,0.00047182
400,hsa-mir-7110,0.03708,0.00046936
401,hsa-mir-4792,0.08451,0.00046638
402,hsa-mir-511,0.00698,0.00046476
